check (source file),event,date_first_detected,time_first_detected,temperature_celsuis,camera_model,location,treatment,site,site_type,wing1ID,wing1_detected,centreID,centre_detected,wing2ID,wing2_detected,walked_in_front_of_felixer?,walkpast,avoided,catID,comments,2_or_more_cameras,ID_dataset,date_site_set,time_in,times_caught_to_date,sex,days_since_site_set,days_cat_in,days_cat_exposed,direction,behavior,weight_g,age,captured_no,date_last_capture,days_since_last_capture
HM and SR pulled 22.9,471,14/08/2021,19:30:38,12,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,1,SR9,0,T,1,0,,,no,drop,27/05/2021,11/08/2021,1,M,79,3,3,east,,,,,,
HM and SR pulled 22.9,472,15/08/2021,19:10:09,15,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,0,F,0,1,,,no,drop,29/05/2021,na,na,NA,78,,78,east,,,,,,
HM and SR pulled 22.9,473,15/08/2021,5:04:43,4,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,1,HM4,1,T,1,0,mohawk,I think,yes,catID,29/05/2021,3/04/2021,2,M,78,134,78,east,,5200,adult,2,30/04/2021,107
HM and SR pulled 22.9,474,15/08/2021,19:53:11,12,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,na,na,NA,78,,78,east,,,,,,
HM and SR pulled 22.9,475,15/08/2021,4:25:02,3,reconyx,dingo,collared,F1,felixer,SR4,1,SR5,1,SR6,1,T,1,0,dontknow,"new cat with retroreflector, could be angalacon, godzilla, comanche moon, sunnyboy, calamity, terminator, doomageddon, rambo",yes,drop,27/05/2021,,,,80,,,west,,,,,,
HM and SR pulled 22.9,476,16/08/2021,20:04:07,10,reconyx,dingo,collared,CR02,crate,SR10,1,SR11,1,SR12,0,T,1,0,ancalagon,"new cat with retroreflector, good photos but no idea which cat it is",yes,catID,29/05/2021,13/08/2021,1,F,79,3,3,east,,3775,adult,1,13/08/2021,3
HM and SR pulled 22.9,477,16/08/2021,6:06:14,4,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,0,SR12,1,F,0,1,,,no,drop,29/05/2021,na,na,NA,79,,79,west,,,,,,
HM and SR pulled 22.9,478,16/08/2021,3:43:01,3,reconyx,dingo,collared,CR04,crate,HM6,0,HM5,1,HM4,1,T,1,0,mohawk,I think,yes,catID,29/05/2021,3/04/2021,2,M,79,135,79,east,,5200,adult,2,30/04/2021,108
HM and SR pulled 22.9,479,16/08/2021,5:35:32,2,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,0,SR6,1,F,0,1,,,no,drop,27/05/2021,7/04/2021,2,M,81,131,81,east,,4200,adult,2,5/05/2021,103
HM and SR pulled 22.9,480,17/08/2021,18:58:48,16,reconyx,dingo,collared,CR04,crate,HM6,0,HM5,1,HM4,1,T,1,0,cantID,cant ID,yes,drop,29/05/2021,,,,80,,,west,,,,,,
HM and SR pulled 22.9,481,17/08/2021,18:39:48,12,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,1,SR9,0,T,1,0,,,no,drop,27/05/2021,3/04/2021,2,M,82,136,82,west,,5200,adult,2,30/04/2021,109
HM and SR pulled 22.9,482,18/08/2021,6:17:14,1,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,1,SR12,0,T,1,0,,,no,drop,29/05/2021,3/04/2021,2,M,81,137,81,west,,5200,adult,2,30/04/2021,110
HM and SR pulled 22.9,483,18/08/2021,21:50:35,8,reconyx,dingo,collared,CR04,crate,HM6,0,HM5,1,HM4,0,T,1,0,,,no,drop,29/05/2021,na,na,NA,81,,81,east,,,,,,
HM and SR pulled 22.9,484,18/08/2021,1:01:24,4,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,1,SR9,0,T,1,0,,,no,drop,27/05/2021,na,na,NA,83,,83,east,,,,,,
HM and SR pulled 22.9,485,19/08/2021,3:06:22,3,reconyx,dingo,collared,CR02,crate,SR10,1,SR11,0,SR12,0,F,0,1,,,no,drop,29/05/2021,12/07/2021,1,M,82,38,38,east,,,,,,
HM and SR pulled 22.9,486,19/08/2021,23:08:17,11,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,1,SR6,1,T,1,0,mohawk,,yes,catID,27/05/2021,3/04/2021,2,M,84,138,84,west,,5200,adult,2,30/04/2021,111
HM and SR pulled 22.9,487,20/08/2021,4:15:51,11,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,0,SR12,1,F,0,1,,,no,drop,29/05/2021,12/07/2021,1,M,83,39,39,east,,,,,,
HM and SR pulled 22.9,488,21/08/2021,2:21:30,17,reconyx,dingo,collared,CR06,crate,HM12,1,HM11,0,HM10,0,F,0,1,,,no,drop,5/07/2021,10/07/2021,1,M,47,42,42,east,,5975,adult,1,10/07/2021,42
HM and SR pulled 22.9,489,22/08/2021,22:39:18,15,reconyx,dingo,collared,CR01,crate,SR1,1,SR2,0,SR3,0,F,0,1,,,no,drop,27/05/2021,na,na,NA,87,,87,west,,,,,,
HM and SR pulled 22.9,490,22/08/2021,21:35:04,19,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,0,F,0,1,,,no,drop,29/05/2021,3/04/2021,2,M,85,141,85,west,,5200,adult,2,30/04/2021,114
HM and SR pulled 22.9,491,24/08/2021,19:34:46,10,reconyx,dingo,collared,CR01,crate,SR1,1,SR2,1,SR3,0,T,1,0,mohawk,,yes,catID,27/05/2021,3/04/2021,2,M,89,143,89,west,,5200,adult,2,30/04/2021,116
HM and SR pulled 22.9,492,24/08/2021,22:25:17,6,reconyx,dingo,collared,CR01,crate,SR1,1,SR2,0,SR3,0,F,0,1,,,no,drop,27/05/2021,12/07/2021,1,M,89,43,43,west,,,,,,
HM and SR pulled 22.9,493,24/08/2021,22:45:19,6,reconyx,dingo,collared,CR01,crate,SR1,1,SR2,0,SR3,0,F,0,1,,,no,drop,27/05/2021,12/07/2021,1,M,89,43,43,east,,,,,,
HM and SR pulled 22.9,494,24/08/2021,19:06:22,12,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,1,SR6,1,T,1,0,mohawk,,yes,catID,27/05/2021,3/04/2021,2,M,89,143,89,west,,5200,adult,2,30/04/2021,116
